name,price,picture-src,brand
MAISON MARGIELA MEN OVERSIZED STITCHED TAG SWEATSHIRT WITH KANGAROO POCKET,$790.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/5122f6a035dc336025b1111681e9c6bd_2400x.jpg?v=1576267610,MAISON MARGIELA
READYMADE SHOULDER BAG,null,//cdn.shopify.com/s/files/1/0015/6611/3861/products/72dd400de2eb633773dede7e02faa005_2400x.jpg?v=1542737809,READYMADE
UNDERCOVER MEN PATCH SWEATER,"$1,395.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/d1961dd159b6c78cc2c32b5408e5518c_2400x.jpg?v=1581707280,UNDERCOVER
STONE ISLAND MEN NYLON METAL WATRO RIPSTOP ZIP UP JACKET,$700.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/3bb03ded03de098869139d58b1905692_2400x.jpg?v=1580058708,STONE ISLAND
SAINT LAURENT MEN CLASSIC WESTERN SHIRT,$690.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/0ec2d8b1ebfe8e82f80a313264564b6b_2400x.jpg?v=1580420887,SAINT LAURENT
GUIDI SOFT HORSE LEATHER SMALL 2 ZIP BACKPACK,"$1,650.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/e2e4ce714f569ca1c241b065e3ebe703_2400x.jpg?v=1573912360,GUIDI
RICK OWENS MEN KNIT T-SHIRT,$235.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/e5a70cfa235b06280879755bc3303926_2400x.jpg?v=1577662285,RICK OWENS
RICK OWENS TEARDRIO KEYCHAIN,$204.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/93e1b1584c5d90aa714cdb339eda1cb8_2400x.jpg?v=1581358612,RICK OWENS
PALM ANGELS MEN TIE DYE CHENILLE TRACK JACKET,$795.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/a92a07cd7c2684b615ecba0067c7419b_2400x.jpg?v=1575743588,PALM ANGELS
LAYER-0 MEN LINEN BLEND E CABAN JACKET,"$2,550.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/42e6cddc10852ddd0e935ace872e301f_2400x.jpg?v=1570555316,LAYER-0
MAISON MARGIELA MEN CUT OFF NUMBER LOGO COMBO SWEATSHIRT,$800.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/e069ad7f2c787ec3fec4f505849b10c3_2400x.jpg?v=1578183529,MAISON MARGIELA
MASTERMIND WORLD MEN LOGO CARGO PANTS,"$1,980.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/0eca7c7745970926da0381bfd6162c62_2400x.jpg?v=1581706902,MASTERMIND WORLD
SAINT LAURENT MEN DJELLABA HOODED TEDDY VELVET JACKET,"$3,290.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/95b0b1ae29d12ecaa837c61749b06eb4_2400x.jpg?v=1582586061,SAINT LAURENT
AMBUSH UNISEX CREWNECK SWEATSHIRT,$415.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/c02eea38cbee4c0e1ea5bda0afa284ef_2400x.jpg?v=1582233219,AMBUSH
SONG FOR THE MUTE MEN BROWN DOOR OVERSIZED TEE,$290.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/5af683971580665dcc9264d70d42df0c_2400x.jpg?v=1579301204,SONG FOR THE MUTE
OFF-WHITE MEN AIRPORT TAPE S/S SLIM TEE,$335.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/1e75be144bfc3767a421e688c4a7e060_2400x.jpg?v=1582844718,OFF-WHITE
RICK OWENS RICK SUNGLASSES GBLKB,$408.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/5cb5bbfff2c8403cbc2c02b4a3887b07_2400x.jpg?v=1576960653,RICK OWENS
MA+ ONE PIECE ROUND GLASSES,$940.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/01fc53411f562513788d44e23ebbf555_2400x.jpg?v=1570823428,MA+
TAICHIMURAKAMI MEN LONG SLEEVE HENRY NECK T-SHIRT,$465.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/08a5a8db6e0864873596ffdb74bf76a7_2400x.jpg?v=1570241711,TAICHIMURAKAMI
GUIDI MEN PL1 HORSE LEATHER FRONT ZIP BOOT,"$1,450.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/b90ab7ab3a994ee35ee98ffdae313af4_2400x.jpg?v=1568131570,GUIDI
ADIDAS X ALEXANDER WANG AW BBALL SOCCER,$250.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/e209dcc267e3c9a311fd7df45ce26ec7_2400x.jpg?v=1577475481,ADIDAS
DRKSHDW MEN PRISONNER DRAWSTRING,$393.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/e2eef86f3268b04995accbc02cffb6dd_2400x.jpg?v=1582582961,RICK OWENS DRKSHDW
RICK OWENS MEN FITTED IES LEATHER JACKET,"$1,752.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/be11fd1e56196eb82188ba31273a5f1a_2400x.jpg?v=1580761477,RICK OWENS
READYMADE EMBROIDERED LOGO VINTAGE POSTAL CAP,null,//cdn.shopify.com/s/files/1/0015/6611/3861/products/b9a8f388741778ade8e1362b47b7ca5b_2400x.jpg?v=1563570935,READYMADE
MAISON MARGIELA MEN RETRO FIT LOW TOP SNEAKERS,$627.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/f4450c67b66b473d1b6c844f21e2c119_2400x.jpg?v=1569526341,MAISON MARGIELA
